Status,Street Address (Full),Zip Code,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,MLS Number ,Listing Date,Sale Date,Close Date,Original List Price,Year Built,Check price Sale/List Percent
60,1566023.955,-266023.9555,1300000,-17.0%,,,,,,,,,,,
61,1332724.886,-43024.88603,1289700,-3.2%,,,,,,,,,,,
62,1334567.165,-109567.1645,1225000,-8.2%,,,,,,,,,,,
63,1331419.343,-151419.3428,1180000,-11.4%,,,,,,,,,,,
64,1394527.747,-234527.7468,1160000,-16.8%,,,,,,,,,,,
65,1310785.911,-210785.9106,1100000,-16.1%,,,,,,,,,,,
66,1514716.933,-514716.9327,1000000,-34.0%,,,,,,,,,,,
67,1668326.488,-668326.4884,1000000,-40.1%,,,,,,,,,,,
68,1344253.425,-344253.4254,1000000,-25.6%,,,,,,,,,,,
69,1284412.244,-334412.2439,950000,-26.0%,,,,,,,,,,,
70,1229254.61,-319254.6097,910000,-26.0%,,,,,,,,,,,
71,1124552.974,-224552.9736,900000,-20.0%,,,,,,,,,,,
72,1277224.537,-547224.5367,730000,-42.8%,,,,,,,,,,,
,,,sum,-15.5%,,,,,,,,,,,
