Status,Street Address (Full),List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,MLS Number ,,
Sold,4184 Cesar Chavez ST ,3195000,3614000,64,2603,2848,6/18/2021 0:00,6/28/2021 0:00,7/20/2021 0:00,10,94131,3195000,1957,2848,SF421564232,,
Sold,3121 Conti Ct ,3595680,3607500,21,6925,30701,6/24/2021 0:00,7/2/2021 0:00,7/16/2021 0:00,8,94566,3595680,2000,30701,BE40955476,,
Sold,4711 Oceanridge DR ,3600000,3600000,7,4464,9932,7/12/2021 0:00,7/12/2021 0:00,7/12/2021 0:00,0,92649,3600000,2014,9932,CROC21151062,,
Sold,1520 Wedgewood DR ,3000000,3600000,70,2140,21750,6/9/2021 0:00,6/9/2021 0:00,6/9/2021 0:00,0,94010,3000000,1951,21750,ML81848017,,
Sold,303 Ruby AVE ,3795000,3580000,1,2423,2550,6/9/2021 0:00,6/9/2021 0:00,6/9/2021 0:00,0,92662,3795000,2020,2550,CRNP21125433,,
Sold,341 6th ST ,3699000,3575000,73,1394,2691,6/2/2021 0:00,6/15/2021 0:00,7/7/2021 0:00,13,90266,3699000,1948,2691,CRSB21119254,,
Sold,3521 Laurel AVE ,3550000,3550000,7,3347,4865,7/5/2021 0:00,7/5/2021 0:00,7/7/2021 0:00,0,90266,3550000,2014,4865,CRSB21148112,,
Sold,954 Galloway ST ,3549000,3525000,75,2613,5204,6/11/2021 0:00,6/25/2021 0:00,7/14/2021 0:00,14,90272,3549000,1946,5204,TM21-747948,,
Sold,48887 Crestview CMN CM,3288000,3500000,23,4011,20848,7/15/2021 0:00,7/16/2021 0:00,7/16/2021 0:00,1,94539,3288000,1998,20848,ML81853690,,
Sold,2700 Harbor View DR ,3500000,3500000,61,2945,14040,4/1/2021 0:00,4/1/2021 0:00,6/23/2021 0:00,0,92625,3500000,1960,14040,CRNP21117186,,
Sold,1400 Ravenswood DR ,2898000,3500000,66,1976,10115,6/23/2021 0:00,6/30/2021 0:00,7/2/2021 0:00,7,94024,2898000,1955,10115,ML81850414,,
Sold,206 Sycamore AVE ,3500000,3500000,74,3083,9606,6/18/2021 0:00,6/18/2021 0:00,6/18/2021 0:00,0,90245,3500000,1947,9606,CRSB21132761,,
Sold,35605 Beach Road ,3500000,3500000,74,2137,3813,6/2/2021 0:00,6/15/2021 0:00,7/21/2021 0:00,13,92624,3500000,1947,3813,CROC21118827,,
Sold,2448 Folsom ST ,2849000,3500000,152,2802,4896,6/19/2021 0:00,6/25/2021 0:00,7/8/2021 0:00,6,94110,2849000,1869,4896,SF421563316,,
Sold,10120 Westminster CT ,3498000,3500000,33,3391,14372,6/11/2021 0:00,6/15/2021 0:00,6/30/2021 0:00,4,95014,3498000,1988,14372,ML81848467,,
Sold,4350 Quail Run Ln ,3598800,3500000,25,4652,71100,6/9/2021 0:00,6/9/2021 0:00,6/9/2021 0:00,0,94506,3598800,1996,71100,CC40953534,,
