MLS Number,county,County_Index,Year_Sale,List Price,Sale Price,DOM,Sale Date
BE40953599,Alameda,5,2021,995000,1500000,2,6/12/2021 0:00
ML81848280,Santa Clara,6,2021,2199000,2150000,9,6/19/2021 0:00
ML81848112,Santa Clara,6,2021,969900,1088000,7,6/16/2021 0:00
ME221070423,El Dorado,18,2021,589000,625000,3,6/20/2021 0:00
ME221067908,Sacramento,2,2021,479000,506000,5,6/21/2021 0:00
ME221067580,Yuba,21,2021,249900,280000,5,6/17/2021 0:00
CNSR21128749,Los Angeles,0,2021,815000,865000,2,6/16/2021 0:00
CROC21129680,Los Angeles,0,2021,719000,725000,9,6/24/2021 0:00
CRAR21120470,Los Angeles,0,2021,699000,750000,3,6/21/2021 0:00
CRTR21128147,San Bernardino,8,2021,729000,782000,1,6/25/2021 0:00
CRNDP2106527,San Diego,7,2021,2395000,2720000,7,6/14/2021 0:00
CROC21144770,San Diego,7,2021,690000,690000,0,7/1/2021 0:00
CROC21133398,Orange,1,2021,750000,765000,6,6/24/2021 0:00
CRPW21125273,Ventura,12,2021,745000,745000,1,6/10/2021 0:00
CRV0-220005146,Ventura,12,2020,589900,585000,32,6/23/2020 0:00
CRSC21139585,San Luis Obispo,20,2021,599000,540000,6,7/2/2021 0:00
ML81849509,San Mateo,11,2021,3288000,3050000,1,6/17/2021 0:00
CC40953878,Contra Costa,4,2021,875000,900000,7,6/18/2021 0:00
ML81848845,Santa Cruz,26,2021,1895000,2401993,10,6/24/2021 0:00
BA321054606,Sonoma,13,2021,639000,620000,27,7/14/2021 0:00
ME221067549,El Dorado,18,2021,724000,727000,2,6/25/2021 0:00
ME221066500,Placer,10,2021,525000,540000,5,6/16/2021 0:00
ME202101107,Sutter,23,2021,534900,565000,5,5/12/2021 0:00
CRPW21129700,Los Angeles,0,2021,599900,638000,7,6/22/2021 0:00
CNSR21133382,Los Angeles,0,2021,925000,925000,0,6/18/2021 0:00
CRNDP2107355,San Diego,7,2021,680000,680000,1,5/14/2021 0:00
CRNDP2108372,San Diego,7,2021,1130000,1130000,0,5/17/2021 0:00
CRNDP2106851,San Diego,7,2021,1149000,1500000,40,6/28/2021 0:00
CROC21124548,San Bernardino,8,2021,545000,545000,13,6/21/2021 0:00
CRSW21120662,Riverside,3,2021,865000,872390,13,6/21/2021 0:00
CROC21135624,Orange,1,2021,774000,735000,9,7/2/2021 0:00
ML81851571,Monterey,22,2021,749000,749000,7,7/8/2021 0:00
EB40954275,Solano,14,2021,540000,598000,12,6/26/2021 0:00
BE40953541,Alameda,5,2021,968800,1040000,7,6/16/2021 0:00
BA321056231,Sonoma,13,2021,979000,1180000,7,6/29/2021 0:00
ME201903964,Stanislaus,16,2019,464250,455000,42,12/19/2019 0:00
BA321055667,Sonoma,13,2021,999900,1020000,21,7/9/2021 0:00
ME221071496,Placer,10,2021,585000,625000,6,6/24/2021 0:00
ME221072787,Sacramento,2,2021,369900,405000,4,6/28/2021 0:00
ME201900260,Butte,9,2019,110000,110000,1,1/26/2019 0:00
ME202100744,Sutter,23,2021,350000,330000,40,5/6/2021 0:00
CRPF21135515,Los Angeles,0,2021,874000,1050000,9,7/2/2021 0:00
TM21-749110,Los Angeles,0,2021,841571,841571,0,6/14/2021 0:00
CRPW21120220,Los Angeles,0,2021,1188000,1240000,14,6/21/2021 0:00
CRPW21130845,Los Angeles,0,2021,650000,710000,6,6/23/2021 0:00
CNSR21125885,Los Angeles,0,2021,550000,560000,0,6/10/2021 0:00
CRCV21127005,Los Angeles,0,2021,649000,720000,6,6/16/2021 0:00
CREV21128231,San Bernardino,8,2021,415000,400000,7,1/1/2021 0:00
CRPW21124176,Riverside,3,2021,599000,610000,18,6/26/2021 0:00
TM21-750546,Orange,1,2021,785000,785000,1,5/14/2021 0:00
CRV0-218010836,Ventura,12,2019,749000,725000,136,1/10/2019 0:00
CNSR21134101,Los Angeles,0,2021,389990,410000,1,6/21/2021 0:00
ML81849299,Monterey,22,2021,1080000,1090000,7,6/24/2021 0:00
ML81847996,Monterey,22,2021,1049000,1032000,7,6/16/2021 0:00
ML81850538,San Mateo,11,2021,2388000,2800000,5,6/29/2021 0:00
BA321051225,Solano,14,2021,549900,550000,28,7/7/2021 0:00
ME221065101,Stanislaus,16,2021,330000,365000,4,6/13/2021 0:00
