zip_code,county,County_Index,Year_Sale,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Sale Date
90275,Los Angeles,0,2021,1549000,1531600,61,1758,22680,127,6/17/2021 0:00
90504,Los Angeles,0,2021,775000,900000,70,1156,5113,10,6/25/2021 0:00
90670,Los Angeles,0,2021,759000,795000,9,2020,122459,5,6/19/2021 0:00
91602,Los Angeles,0,2021,1475000,1475000,1,2200,20000,0,7/15/2021 0:00
91945,San Diego,7,2021,549000,566000,79,1716,13100,3,6/20/2021 0:00
92054,San Diego,7,2021,890000,890000,41,1597,10000,0,6/8/2021 0:00
92078,San Diego,7,2021,1000000,1000007,2,2550,6548,3,6/14/2021 0:00
92130,San Diego,7,2021,2150000,2150000,22,3708,7840.8,0,6/15/2021 0:00
92630,Orange,1,2021,989000,1020000,44,2546,5408,25,7/1/2021 0:00
92821,Orange,1,2021,785000,780000,66,1862,6720,23,6/24/2021 0:00
92886,Orange,1,2021,974999,998000,7,2530,2000,13,6/16/2021 0:00
93923,Monterey,22,2021,3695000,3695000,19,2443,6000,7,6/24/2021 0:00
94521,Contra Costa,4,2021,849900,925000,47,1709,7000,10,6/22/2021 0:00
94536,Alameda,5,2021,799000,853000,71,990,5429,7,6/25/2021 0:00
94585,Solano,14,2021,489999,530000,7,1898,2200,28,7/14/2021 0:00
94598,Contra Costa,4,2021,1195000,1447875,53,1880,9240,2,6/25/2021 0:00
95005,Santa Cruz,26,2021,799000,865000,73,1512,13809,4,6/14/2021 0:00
95116,Santa Clara,6,2021,835000,835000,72,1160,5250,0,6/22/2021 0:00
95124,Santa Clara,6,2021,1328888,1450000,58,1286,6676,2,6/20/2021 0:00
95482,Mendocino,35,2021,457000,457000,35,1209,7000,14,5/21/2021 0:00
95602,Placer,10,2021,410000,450000,45,1158,15246,5,6/23/2021 0:00
95742,Sacramento,2,2021,699990,715000,5,3427,6216,9,6/19/2021 0:00
95823,Sacramento,2,2021,429900,440000,4,1499,2544,5,6/15/2021 0:00
95835,Sacramento,2,2021,469900,510000,16,1662,7357,5,6/19/2021 0:00
95926,Butte,9,2020,449000,433000,47,1792,8276,122,9/24/2020 0:00
95966,Butte,9,2020,299000,300000,58,1614,26572,33,3/4/2020 0:00
92020,San Diego,7,2021,949888,955000,45,2030,9665,9,6/19/2021 0:00
92284,San Bernardino,8,2021,380000,400000,62,1120,217800,6,6/16/2021 0:00
92337,San Bernardino,8,2021,550000,560000,16,1807,5561,13,6/22/2021 0:00
92404,San Bernardino,8,2021,365000,396000,71,1500,6710,1,6/12/2021 0:00
92503,Riverside,3,2021,460000,480000,23,1214,4356,16,6/16/2021 0:00
92630,Orange,1,2021,848000,835000,57,1144,9425,12,6/16/2021 0:00
92886,Orange,1,2021,1599000,1650000,6,3717,6982,3,6/12/2021 0:00
93420,San Luis Obispo,20,2021,719900,765000,32,1643,6864,20,6/25/2021 0:00
94062,San Mateo,11,2021,1650000,1650000,83,1580,6500,0,6/17/2021 0:00
94122,San Francisco,19,2021,1295000,1800000,84,1640,2063,6,6/29/2021 0:00
94513,Contra Costa,4,2021,599000,721000,27,1414,5900,7,6/16/2021 0:00
95125,Santa Clara,6,2021,1598000,1750000,82,1505,5021,7,6/23/2021 0:00
95126,Santa Clara,6,2021,1265000,1350000,85,1380,3775,7,6/17/2021 0:00
95136,Santa Clara,6,2021,1290000,1336000,52,2100,6539,8,6/24/2021 0:00
95361,Stanislaus,16,2021,499950,530000,8,2170,6408,2,6/13/2021 0:00
95747,Placer,10,2021,649000,658661,23,2152,7144,8,7/2/2021 0:00
95762,El Dorado,18,2021,979000,1102500,1,2531,12632,9,6/18/2021 0:00
90266,Los Angeles,0,2021,3699000,3850000,21,3473,4993,82,6/15/2021 0:00
90604,Los Angeles,0,2021,699000,730000,61,1678,6701,37,6/25/2021 0:00
90630,Orange,1,2021,829900,849000,60,1205,6028,15,6/22/2021 0:00
91356,Los Angeles,0,2021,1699000,1658000,46,3404,19201,12,6/22/2021 0:00
